ontology,subsystem,sensor,parameter,hrf_unit,hrf_minval,hrf_maxval,datasheet
/system/other/temperature,chemsense,sht25,temperature,C,-40,125,https://github.com/waggle-sensor/sensors/blob/master/sensors/chemsense/sht25.pdf
/system/wagman/current,wagman,current,cs,mA,0,8000,https://github.com/waggle-sensor/core/blob/master/scripts/status-service
/system/wagman/current,wagman,current,ep,mA,0,8000,https://github.com/waggle-sensor/core/blob/master/scripts/status-service
/system/wagman/current,wagman,current,nc,mA,0,8000,https://github.com/waggle-sensor/core/blob/master/scripts/status-service
/system/wagman/current,wagman,current,wagman,mA,0,8000,https://github.com/waggle-sensor/core/blob/master/scripts/status-service
/system/wagman/failures,wagman,failures,cs,count,0,,https://github.com/waggle-sensor/core/blob/master/scripts/status-service
/system/wagman/failures,wagman,failures,ep,count,0,,https://github.com/waggle-sensor/core/blob/master/scripts/status-service
/system/wagman/failures,wagman,failures,nc,count,0,,https://github.com/waggle-sensor/core/blob/master/scripts/status-service
/system/wagman/heartbeat,wagman,heartbeat,cs,ms,0,,https://github.com/waggle-sensor/core/blob/master/scripts/status-service
/system/wagman/heartbeat,wagman,heartbeat,ep,ms,0,,https://github.com/waggle-sensor/core/blob/master/scripts/status-service
/system/wagman/heartbeat,wagman,heartbeat,nc,ms,0,,https://github.com/waggle-sensor/core/blob/master/scripts/status-service
/system/wagman/port_mode,wagman,enabled,cs,bool,0,1,https://github.com/waggle-sensor/core/blob/master/scripts/status-service
/system/wagman/port_mode,wagman,enabled,ep,bool,0,1,https://github.com/waggle-sensor/core/blob/master/scripts/status-service
/system/wagman/port_mode,wagman,enabled,nc,bool,0,1,https://github.com/waggle-sensor/core/blob/master/scripts/status-service
/system/wagman/uptime,wagman,uptime,uptime,s,0,,https://github.com/waggle-sensor/core/blob/master/scripts/status-service
